ID_Cliente,Bairro,Cidade,Estado
12429082030,Luzia,Aracaju,SE
12793619292,Grageru,Aracaju,SE
1,#N/A,#N/A,#N/A
2,#N/A,#N/A,#N/A
12732289533,Jardins,Aracaju,SE
12487039803,Jardins,Aracaju,SE
12706822040,Jardins,Aracaju,SE
12575081471,Luzia,Aracaju,SE
12429037473,Jardins,Aracaju,SE
12628027616,Barra Grande,Vera Cruz,BA
3,Lagoa do Mato,Remígio,PA
4,Marcos freire 2,Nossa Senhora do Socorro,SE
12620146377,Grageru,Aracaju,SE
5,#N/A,#N/A,#N/A
6,Luzia,Aracaju,SE
12598451389,Centro,Passo Fundo,RS
7,Praça da Bandeira,Rio de Janeiro,RJ
12592051881,Jardins,Aracaju,SE
12591981248,Grageru,Aracaju,SE
8,Taguatinga Sul (Taguatinga),Brasília,DF
12574633308,Salgado Filho,Aracaju,SE
12477351566,Grageru,Aracaju,SE
12382213560,Atalaia,Aracaju,SE
9,Jardins,Aracaju,SE
10,Centro,Itabaianinha,SE
12532681256,Sonho Verde,Palmeira dos Índios,AL
12529696997,Jardins,Aracaju,SE
11,Coroa do Meio,Aracaju,SE
12484955529,Jardins,Aracaju,SE
12488501471,Coroa do Meio,Aracaju,SE
12,Atalaia,Aracaju,SE
12475511030,Centro,Aracaju,SE
12447762108,Jardins,Aracaju,SE
13,Aruana,Aracaju,SE
12466539253,São José,Aracaju,SE
12464139587,Atalaia,Aracaju,SE
14,Inácio Barbosa,Aracaju,SE
12457229243,Treze de Julho,Aracaju,SE
12455473977,Grageru,Aracaju,SE
12448132000,Grageru,Aracaju,SE
15,#N/A,#N/A,#N/A
12447998363,Grageru,Aracaju,SE
12447788858,Treze de Julho,Aracaju,SE
16,Farolândia,Aracaju,SE
15367297179,Farolândia,Aracaju,SE
12429148020,Atalaia,Aracaju,SE
12446917801,Atalaia,Aracaju,SE
12446891003,Jardins,Aracaju,SE
13509388585,Pereira Lobo,Aracaju,SE
12443818670,Capim Macio,Natal,RN
12485062623,Inácio Barbosa,Aracaju,SE
12439071251,Jabotiana,Aracaju,SE
12436130181,Jardins,Aracaju,SE
12438186392,Coroa do Meio,Aracaju,SE
17,Coroa do Meio,Aracaju,SE
12429386125,Grageru,Aracaju,SE
18,Atalaia,Aracaju,SE
12435869905,Luzia,Aracaju,SE
12428854910,Salgado Filho,Aracaju,SE
12435292439,Atalaia,Aracaju,SE
12435139460,Luzia,Aracaju,SE
12434481107,Coroa do Meio,Aracaju,SE
12433577966,Coroa do Meio,Aracaju,SE
19,Farolândia,Aracaju,SE
12430942296,Grageru,Aracaju,SE
12431484268,Suíssa,Aracaju,SE
12430636797,Jardins,Aracaju,SE
12384988715,Jabotiana,Aracaju,SE
12429929713,Luzia,Aracaju,SE
15696488845,13 de julho,,
12429451122,Farolândia,Aracaju,SE
12429451836,Centro,Barra dos Coqueiros,SE
12429448010,Farolândia,Aracaju,SE
12429382466,Luzia,Aracaju,SE
12429348490,Farolândia,Aracaju,SE
15690814785,Jabotiana,Aracaju,SE
12429263068,Novo Paraíso,Aracaju,SE
12438381097,Grageru,Aracaju,SE
20,Salgado Filho,Aracaju,SE
12429171179,Jardins,Aracaju,SE
21,Coroa do Meio,Aracaju,SE
22,Coroa do Meio,Aracaju,SE
23,Ponto Novo,Aracaju,SE
24,Grageru,Aracaju,SE
12429111266,Treze de Julho,Aracaju,SE
25,Luzia,Aracaju,SE
12429091109,Vila Augusta,Guarulhos,SP
12429094992,Aeroporto,Aracaju,SE
15357900720,Farolândia,Aracaju,SE
12429052844,Santo Antônio,Aracaju,SE
12485058866,Grageru,Aracaju,SE
12419503756,Treze de Julho,Aracaju,SE
26,Jardins,Aracaju,SE
12383774078,Siqueira Campos,Aracaju,SE
27,#N/A,#N/A,#N/A
12383340726,Rosa Elze,São Cristóvão,SE
12383202291,Pituba,Salvador,BA
28,Farolândia,Aracaju,SE
12378697829,Coroa do Meio,Aracaju,SE
14068238511,Atalaia,Aracaju,SE
13493717055,Farolândia,Aracaju,SE
15239796017,Salgado Filho,Aracaju,SE
29,Farolândia,Aracaju,SE
30,Vila Nogueira,Botucatu,SP
31,Grageru,Aracaju,SE
15754977535,Atalaia,Aracaju,SE
32,Aruana,Aracaju,SE
33,Jardins,Aracaju,SE
34,Jardins,Aracaju,SE
13274540485,São José,Aracaju,SE
35,Farolândia,Aracaju,SE
15058301695,Aruana,Aracaju,SE
36,#N/A,#N/A,#N/A
37,Farolândia,Aracaju,SE
38,Jabotiana,Aracaju,SE
13022322113,Luzia,Aracaju,SE
13947265474,Ponta Verde,Maceió,AL
13031151143,Luzia,Aracaju,SE
15282385495,Luzia,Aracaju,SE
39,Jardins,Aracaju,SE
40,Inácio Barbosa,Aracaju,SE
15670329116,América,Aracaju,SE
41,Jardins,Aracaju,SE
15699135515,São José,Aracaju,SE
15180420142,Farolândia,Aracaju,SE
42,Centro,Aracaju,SE
43,Jardins,Aracaju,SE
15682255947,Jardins,Aracaju,SE
13416573024,Atalaia,Aracaju,SE
44,Centro,Itabaianinha,SE
13813140283,Inácio Barbosa,Aracaju,SE
45,Centro,Aracaju,SE
46,Suíssa,Aracaju,SE
47,Grageru,Aracaju,SE
48,Rosa Elze,São Cristóvão,SE
14473891230,Santo Antônio,Aracaju,SE
14475747847,Grageru,Aracaju,SE
13573452614,Jardins,Aracaju,SE
49,Luzia,Aracaju,SE
50,#N/A,#N/A,#N/A
15496409049,Luzia,Aracaju,SE
14860103246,Jardins,Aracaju,SE
15601206850,Aruana,Aracaju,SE
15805840884,Suíssa,Aracaju,SE
15661372879,"Augusto Franco, Farolandia ",Aracaju,SE
51,Jardins,Aracaju,SE
52,Treze de Julho,Aracaju,SE
53,Atalaia,Aracaju,SE
14799257654,São Conrado,Aracaju,SE
54,Farolândia,Aracaju,SE
55,#N/A,#N/A,#N/A
56,Inácio Barbosa,Aracaju,SE
57,Ponto Novo,Aracaju,SE
58,Luzia,Aracaju,SE
14936967910,Luzia,Aracaju,SE
